prim2_common,prim1_common,strat_id,psu_id,YEAR,REG_RES,ST_RES,CNTY_RES,ST,CNTY,INTSITE,MODE_F,MODE_FX,AREA,AREA_X,HRSF,ADD_HRS,FFDAYS12,FFDAYS2,CNTRBTRS,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,PARTY,FIRST,ID_CODE,SUB_REG,WAVE,CATCH,ON_LIST,NUM_TYP9,BOAT_HRS,telefon,COASTAL,new_list,kod,ASG_CODE,MODE_ASG,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,region,strat_interval,month,COUNTY,TIME,tsn1,tsn2,DISTKEYS,GEAR,PVT_RES,SEP_FISH,ADD_PH,F_BY_P,date1,DIST,prim1,prim2,AREA_NC,MODE2001,MONITOR,TOURN,TURTLE,AGE,GENDER,ART_REEF,REEFCODE,muni_res,muni_trp,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER,fl_reg
,KINGFISH GENUS,2015011273weS:8AM-8PM,2015112731515620150118,2015,6,12,31,12,109,3023,5,3,1,1,1.5,1,10,10,1,0,0,0,0,,,1515620150118002,6,1,2,,,,,Y,,we,1515620150118,,1515620150118002,,,,7,S:8AM-8PM,01,DUVAL,835,169273,,1,1,1,8,1,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,31225.892226,2015011273weS:8AM-8PM,,0,1515620150118002,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,5.5,0,25,6,1,0,1,0,0,,,1515620150125001,6,1,1,,,,,Y,,we,1515620150125,,1515620150125001,2,1,0,7,S:8AM-8PM,01,DUVAL,1255,,,1,1,1,8,1,1,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125001,8
,KINGFISH GENUS,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,5.5,0,50,7,1,3,0,0,0,,,1515620150125002,6,1,2,,,,,Y,,we,1515620150125,,1515620150125002,2,,,7,S:8AM-8PM,01,DUVAL,1307,169273,,1,1,1,8,1,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125002,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,5,36,15,12,31,43,1,3,1,1,2,0,2,0,1,1,0,0,0,,,1515620150125003,6,1,2,,,,,O,,we,1515620150125,,1515620150125003,2,,,7,S:8AM-8PM,01,,1327,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125003,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,5,36,15,12,31,43,1,3,1,1,2,,2,0,1,0,0,0,0,,,1515620150125004,6,1,2,,,,,O,,we,1515620150125,,1515620150125004,,,,7,S:8AM-8PM,01,,1328,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125004,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,2,,1,0,1,0,0,0,0,,,1515620150125005,6,1,2,,,,,Y,,we,1515620150125,,1515620150125005,,,,7,S:8AM-8PM,01,DUVAL,1329,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125005,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,19,12,31,43,1,3,1,1,2,,6,0,1,0,0,0,0,,,1515620150125006,6,1,2,,,,,Y,,we,1515620150125,,1515620150125006,,,,7,S:8AM-8PM,01,CLAY,1337,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125006,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,19,12,31,43,1,3,1,1,2,,8,2,1,0,0,0,0,,,1515620150125007,6,1,2,,,,,Y,,we,1515620150125,,1515620150125007,,,,7,S:8AM-8PM,01,CLAY,1338,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125007,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,2,,12,0,1,0,0,0,0,,,1515620150125008,6,1,2,,,,,Y,,we,1515620150125,,1515620150125008,,,,7,S:8AM-8PM,01,DUVAL,1339,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125008,8
,KINGFISH GENUS,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,3.5,,20,0,1,0,0,0,0,,,1515620150125009,6,1,2,,,,,Y,,we,1515620150125,,1515620150125009,,,,7,S:8AM-8PM,01,DUVAL,1340,169273,,1,1,1,8,1,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125009,8
,KINGFISH GENUS,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,3.5,,20,0,1,0,0,0,0,,,1515620150125010,6,1,2,,,,,Y,,we,1515620150125,,1515620150125010,,,,7,S:8AM-8PM,01,DUVAL,1341,169273,,1,1,1,8,1,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125010,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,2,0,12,5,1,1,0,0,0,,,1515620150125011,6,1,2,,,,,Y,,we,1515620150125,,1515620150125011,2,,,7,S:8AM-8PM,01,DUVAL,1350,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,5151.9481799,2015011273weS:8AM-8PM,,0,1515620150125011,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,2,0,5,4,1,1,0,0,0,,,1515620150125012,6,1,2,,,,,Y,,we,1515620150125,,1515620150125012,2,,,7,S:8AM-8PM,01,DUVAL,1402,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,8726.3492066,2015011273weS:8AM-8PM,,0,1515620150125012,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,109,12,31,43,1,3,1,1,4,,30,3,1,0,0,0,0,,,1515620150125013,6,1,2,,,,,Y,,we,1515620150125,,1515620150125013,,,,7,S:8AM-8PM,01,ST JOHNS,1435,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,8726.3492066,2015011273weS:8AM-8PM,,0,1515620150125013,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,2,,7,0,1,0,0,0,0,,,1515620150125014,6,1,2,,,,,Y,,we,1515620150125,,1515620150125014,,,,7,S:8AM-8PM,01,DUVAL,1518,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,8726.3492066,2015011273weS:8AM-8PM,,0,1515620150125014,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,3,,10,0,1,0,0,0,0,,,1515620150125015,6,1,2,,,,,Y,,we,1515620150125,,1515620150125015,,,,7,S:8AM-8PM,01,DUVAL,1531,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,8726.3492066,2015011273weS:8AM-8PM,,0,1515620150125015,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,5,0,55,30,1,1,0,0,0,,,1515620150125016,6,1,2,,,,,Y,,we,1515620150125,,1515620150125016,2,,,7,S:8AM-8PM,01,DUVAL,1614,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,8726.3492066,2015011273weS:8AM-8PM,,0,1515620150125016,8
,,2015011273weS:8AM-8PM,2015112731515620150125,2015,6,12,31,12,31,43,1,3,1,1,5,0,55,30,1,1,0,0,0,,,1515620150125017,6,1,2,,,,,Y,,we,1515620150125,,1515620150125017,2,,,7,S:8AM-8PM,01,DUVAL,1615,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,8726.3492066,2015011273weS:8AM-8PM,,0,1515620150125017,8
,REQUIEM SHARK FAMILY,2015011273weS:8AM-8PM,2015112731515620150131,2015,6,12,31,12,31,43,1,3,1,1,3,0,100,20,1,1,0,0,0,,,1515620150131001,6,1,2,,,,,Y,,we,1515620150131,,1515620150131001,2,,,7,S:8AM-8PM,01,DUVAL,908,160178,,1,1,1,8,1,8,19FEB201516:56,1,8708020000,,,,,,,,,,,,,6172.4952972,2015011273weS:8AM-8PM,,0,1515620150131001,8
,,2015011273weS:8AM-8PM,2015112731515620150131,2015,6,12,31,12,31,43,1,3,1,1,3,,50,8,1,0,0,0,0,,,1515620150131002,6,1,2,,,,,Y,,we,1515620150131,,1515620150131002,,,,7,S:8AM-8PM,01,DUVAL,1004,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,6172.4952972,2015011273weS:8AM-8PM,,0,1515620150131002,8
,,2015011273weS:8AM-8PM,2015112731515620150131,2015,0,39,15,12,31,43,1,3,1,1,1,,6,0,1,0,0,0,0,,,1515620150131003,6,1,2,,,,,O,,we,1515620150131,,1515620150131003,,,,7,S:8AM-8PM,01,,1039,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,6172.4952972,2015011273weS:8AM-8PM,,0,1515620150131003,8
,KINGFISH GENUS,2015011273weS:8AM-8PM,2015112731515620150131,2015,6,12,31,12,31,43,1,3,1,1,4.5,0,100,7,1,1,0,0,0,,,1515620150131004,6,1,2,,,,,Y,,we,1515620150131,,1515620150131004,2,,,7,S:8AM-8PM,01,DUVAL,1124,169273,,1,1,1,8,1,8,19FEB201516:56,1,8835440600,,,,,,,,,,,,,5653.9880088,2015011273weS:8AM-8PM,,0,1515620150131004,8
,KINGFISH GENUS,2015011273weS:8AM-8PM,2015112731515620150131,2015,6,12,31,12,31,43,1,3,1,1,4,0,150,12,1,0,1,0,0,,,1515620150131005,6,1,1,,,,,Y,,we,1515620150131,,1515620150131005,2,16,0,7,S:8AM-8PM,01,DUVAL,1131,169273,,1,1,1,8,1,1,19FEB201516:56,1,8835440600,,,,,,,,,,,,,5653.9880088,2015011273weS:8AM-8PM,,0,1515620150131005,8
,,2015011273weS:8AM-8PM,2015112731515620150131,2015,6,12,31,12,31,43,1,3,1,1,2.5,,0,0,1,0,0,0,0,,,1515620150131006,6,1,2,,,,,Y,,we,1515620150131,,1515620150131006,,,,7,S:8AM-8PM,01,DUVAL,1144,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5653.9880088,2015011273weS:8AM-8PM,,0,1515620150131006,8
,,2015011273weS:8AM-8PM,2015112731515620150131,2015,6,12,31,12,31,43,1,3,1,1,2,,10,0,1,0,0,0,0,,,1515620150131007,6,1,2,,,,,Y,,we,1515620150131,,1515620150131007,,,,7,S:8AM-8PM,01,DUVAL,1156,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5653.9880088,2015011273weS:8AM-8PM,,0,1515620150131007,8
,,2015011273weS:8AM-8PM,2015112731515620150131,2015,6,12,31,12,31,43,1,3,1,1,2,,4,0,1,0,0,0,0,,,1515620150131008,6,1,2,,,,,Y,,we,1515620150131,,1515620150131008,,,,7,S:8AM-8PM,01,DUVAL,1157,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,5653.9880088,2015011273weS:8AM-8PM,,0,1515620150131008,8
,PINFISH,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,11,12,9,197,1,3,1,1,6.5,0,6,3,1,1,0,0,0,,,1550820150102001,6,1,2,,,,,Y,,we,1550820150102,,1550820150102001,2,0,3,6,S:8AM-8PM,01,BROWARD,1434,169187,,1,1,1,8,1,8,19FEB201516:56,1,8835430201,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102001,8
,PINFISH,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,11,12,9,197,1,3,1,1,6.5,0,6,3,1,1,0,0,0,,,1550820150102002,6,1,2,,,,,Y,,we,1550820150102,,1550820150102002,2,0,4,6,S:8AM-8PM,01,BROWARD,1435,169187,,1,1,1,8,2,8,19FEB201516:56,1,8835430201,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102002,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,117,12,9,197,1,3,1,1,2,0,2,0,1,1,0,0,0,,,1550820150102003,6,1,2,,,,,Y,,we,1550820150102,,1550820150102003,2,,,6,S:8AM-8PM,01,SEMINOLE,1537,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102003,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,117,12,9,197,1,3,1,1,2,,2,0,1,0,0,0,0,,,1550820150102004,6,1,2,,,,,Y,,we,1550820150102,,1550820150102004,,,,6,S:8AM-8PM,01,SEMINOLE,1538,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102004,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,4,25,17,12,9,197,1,3,1,1,2,,0,0,1,0,0,0,0,,,1550820150102005,6,1,2,,,,,O,,we,1550820150102,,1550820150102005,,,,6,S:8AM-8PM,01,MIDDLESEX,1539,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102005,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,0,26,149,12,9,197,1,3,1,1,3,0,3,3,1,2,0,0,0,,,1550820150102006,6,1,2,,,,,O,,we,1550820150102,,1550820150102006,2,,,6,S:8AM-8PM,01,,1610,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102006,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,0,26,149,12,9,197,1,3,1,1,3,0,3,3,1,1,0,0,0,,,1550820150102007,6,1,2,,,,,O,,we,1550820150102,,1550820150102007,2,,,6,S:8AM-8PM,01,,1611,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102007,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,0,26,149,12,9,197,1,3,1,1,3,0,3,3,1,1,0,0,0,,,1550820150102008,6,1,2,,,,,O,,we,1550820150102,,1550820150102008,2,,,6,S:8AM-8PM,01,,1612,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102008,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,97,12,9,197,1,3,1,1,1,,45,14,1,0,0,0,0,,,1550820150102009,6,1,2,,,,,Y,,we,1550820150102,,1550820150102009,,,,6,S:8AM-8PM,01,OSCEOLA,1620,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102009,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,97,12,9,197,1,3,1,1,1,,45,14,1,0,0,0,0,,,1550820150102010,6,1,2,,,,,Y,,we,1550820150102,,1550820150102010,,,,6,S:8AM-8PM,01,OSCEOLA,1621,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,9810.8950845,2015011263weS:8AM-8PM,,0,1550820150102010,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,117,12,9,197,1,3,1,1,4,0,0,0,1,1,0,0,0,,,1550820150102011,6,1,2,,,,,Y,,we,1550820150102,,1550820150102011,2,,,6,S:8AM-8PM,01,SEMINOLE,1721,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102011,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,117,12,9,197,1,3,1,1,4,0,0,0,1,1,0,0,0,,,1550820150102012,6,1,2,,,,,Y,,we,1550820150102,,1550820150102012,2,,,6,S:8AM-8PM,01,SEMINOLE,1722,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102012,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,95,12,9,197,1,3,1,1,4,0,0,0,1,1,0,0,0,,,1550820150102013,6,1,2,,,,,Y,,we,1550820150102,,1550820150102013,2,,,6,S:8AM-8PM,01,ORANGE,1723,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102013,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,95,12,9,197,1,3,1,1,4,0,0,0,1,1,0,0,0,,,1550820150102014,6,1,2,,,,,Y,,we,1550820150102,,1550820150102014,2,,,6,S:8AM-8PM,01,ORANGE,1724,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102014,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,9,12,9,197,1,3,1,1,1.5,0,0,0,1,2,0,0,0,,,1550820150102015,6,1,2,,,,,Y,,we,1550820150102,,1550820150102015,2,,,6,S:8AM-8PM,01,BREVARD,1726,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102015,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,9,12,9,197,1,3,1,1,1.5,,0,0,1,0,0,0,0,,,1550820150102016,6,1,2,,,,,Y,,we,1550820150102,,1550820150102016,,,,6,S:8AM-8PM,01,BREVARD,1727,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102016,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,5,36,61,12,9,197,1,3,1,1,2.5,0,0,0,1,1,2,0,0,,,1550820150102017,6,1,1,,,,,O,,we,1550820150102,,1550820150102017,2,2,0,6,S:8AM-8PM,01,NEW YORK,1801,,,1,1,1,8,2,1,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102017,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,5,36,61,12,9,197,1,3,1,1,2.5,0,0,0,1,1,1,0,0,,,1550820150102018,6,1,1,,,,,O,,we,1550820150102,,1550820150102018,2,1,0,6,S:8AM-8PM,01,NEW YORK,1802,,,1,1,1,8,2,1,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102018,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,5,36,61,12,9,197,1,3,1,1,2.5,0,0,0,1,0,1,0,0,,,1550820150102019,6,1,1,,,,,O,,we,1550820150102,,1550820150102019,2,1,0,6,S:8AM-8PM,01,NEW YORK,1803,,,1,1,1,8,2,1,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102019,8
,SHEEPSHEAD,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,9,12,9,197,1,3,1,1,1.5,,260,40,1,0,0,0,0,,,1550820150102020,6,1,2,,,,,Y,,we,1550820150102,,1550820150102020,,,,6,S:8AM-8PM,01,BREVARD,1808,169189,,1,1,1,8,1,8,19FEB201516:56,1,8835430301,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102020,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,95,12,9,197,1,3,1,1,2.5,0,1,0,1,1,0,0,0,,,1550820150102021,6,1,2,,,,,Y,,we,1550820150102,,1550820150102021,2,0,2,6,S:8AM-8PM,01,ORANGE,1818,,,1,1,1,8,2,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102021,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,95,12,9,197,1,3,1,1,8,0,0,0,1,2,5,0,0,,,1550820150102022,6,1,1,,,,,Y,,we,1550820150102,,1550820150102022,2,,,6,S:8AM-8PM,01,ORANGE,1845,,,1,1,1,8,2,1,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102022,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,69,12,9,197,1,3,1,1,8,0,3,2,1,1,6,0,0,,,1550820150102023,6,1,1,,,,,Y,,we,1550820150102,,1550820150102023,2,,,6,S:8AM-8PM,01,LAKE,1846,,,1,1,1,8,2,1,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102023,8
,,2015011263weS:8AM-8PM,2015112631550820150102,2015,5,42,95,12,9,197,1,3,1,1,6.5,0,2,1,1,1,0,0,0,,,1550820150102024,6,1,2,,,,,O,,we,1550820150102,,1550820150102024,2,,,6,S:8AM-8PM,01,,1943,,,1,1,1,8,1,8,19FEB201516:56,1,,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102024,8
,REQUIEM SHARK GENUS,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,9,12,9,197,1,3,1,1,3,0,100,16,1,1,0,0,0,,,1550820150102025,6,1,2,,,,,Y,,we,1550820150102,,1550820150102025,2,0,3,6,S:8AM-8PM,01,BREVARD,1955,160267,,1,1,1,8,2,8,19FEB201516:56,1,8708020500,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102025,8
,REQUIEM SHARK GENUS,2015011263weS:8AM-8PM,2015112631550820150102,2015,6,12,9,12,9,197,1,3,1,1,3,,100,16,1,0,0,0,0,,,1550820150102026,6,1,2,,,,,Y,,we,1550820150102,,1550820150102026,,,,6,S:8AM-8PM,01,BREVARD,1956,160267,,1,1,1,8,2,8,19FEB201516:56,1,8708020500,,,,,,,,,,,,,28857.369515,2015011263weS:8AM-8PM,,0,1550820150102026,8
