prim2_common,prim1_common,strat_id,psu_id,ADD_HRS,AREA,AREA_X,BOAT_HRS,CATCH,CNTRBTRS,CNTY,CNTY_RES,COASTAL,FFDAYS2,FFDAYS12,FIRST,HRSF,ID_CODE,INTSITE,MODE_F,MODE_FX,NUM_TYP2,NUM_TYP3,NUM_TYP4,NUM_TYP6,ON_LIST,PARTY,REG_RES,ST,ST_RES,SUB_REG,TELEFON,WAVE,YEAR,ASG_CODE,month,kod,MODE_ASG,new_list,PRT_CODE,CELLTYPE,fshinsp_a,num_fish_a,fl_reg,ADD_PH,AREA_NC,COUNTY,DATE1,DIST,F_BY_P,GEAR,MODE2001,MUNI_RES,MUNI_TRP,PRIM1,PRIM2,PVT_RES,RIG,SEP_FISH,TIME,ZIP,TOURN,TURTLE,AGE,wp_int,VAR_ID,ARX_METHOD,ALT_FLAG,LEADER
,,199016128302wd,10629199002149985,,1,1,,2,1,99,77,O,0,0,,2,1062919900214002,85,1,3,0,0,0,,,,5,12,51,6,1,1,1990,1062919900214,02,wd,,,1062919900214002,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1220,24333,8,8,43,18672.516627,199016128302wd,,0,1062919900214002
,SOUTHERN KINGFISH,199016128302wd,11291199002129137,0,1,1,,2,1,9,9,Y,60,200,,5,1129119900212002,137,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1129119900212,02,wd,,,1129119900212002,2,0,4,8,1,,Brevard,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1130,32935,8,8,69,48671.29673,199016128302wd,,0,1129119900212002
,BLUEFISH,199016128302wd,11291199002129137,0,1,1,,2,1,9,117,Y,8,50,,3.5,1129119900212001,137,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1129119900212,02,wd,,,1129119900212001,2,,,8,1,,Seminole,08AUG91:08:36,1,8,1,,,,8835250101,0,1,88,8,1045,32765,8,8,31,48671.29673,199016128302wd,,0,1129119900212001
,,199016128302we,11291199002179228,0,1,1,,2,1,9,15,O,40,80,,3.5,1129119900217002,228,5,3,4,0,0,,,,5,12,34,6,1,1,1990,1129119900217,02,we,,,1129119900217002,2,0,2,8,1,,Gloucester,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1100,08071,8,8,73,16116.170908,199016128302we,,0,1129119900217002
,SPANISH MACKEREL,199016128301we,112141990012886279,0,1,1,,1,1,86,86,Y,16,100,,5,1121419900128001,279,1,3,0,1,0,,,,6,12,12,6,1,1,1990,1121419900128,01,we,,,1121419900128001,2,1,0,8,1,,MIAMI-DADE,21AUG91:15:40,1,1,1,,,,8850030502,0,1,88,8,1020,33162,8,,50,21905.350766,199016128301we,,0,1121419900128001
RED DRUM,SOUTHERN KINGFISH,199016128302wd,1129119900226127199,0,1,1,,1,3,127,127,Y,24,150,,3.5,1129119900226004,199,5,3,1,5,0,,,,6,12,12,6,1,1,1990,1129119900226,02,wd,,,1129119900226004,2,,,8,1,,Volusia,08AUG91:08:36,1,2,1,,,,8835440601,8835440901,1,88,2,1600,32141,8,8,59,48671.29673,199016128302wd,,0,1129119900226004
,,199016128302wd,11291199002079228,,1,1,,2,1,9,998,O,7,15,,2.5,1129119900207014,228,5,3,0,0,0,,,,,12,99,6,1,1,1990,1129119900207,02,wd,,,1129119900207014,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1545,99997,8,8,62,18672.516627,199016128302wd,,0,1129119900207014
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,2,2,,3,1054219900218006,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218006,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1535,32086,8,8,6,42007.992392,199016128302we,,0,1054219900218006
RED DRUM,COMMON SNOOK,199016128302we,106291990022499237,,1,1,,2,1,99,99,Y,32,160,,2,1062919900224016,237,2,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224016,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835010105,8835440901,1,88,8,1515,33401,8,8,25,21905.350766,199016128302we,,0,1062919900224016
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,0,,2,1054219900204010,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204010,,,,8,9,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1555,32233,8,8,20,21905.350766,199016128302we,,0,1054219900204010
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,2,12,,1.5,1062919900214009,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214009,,,,8,9,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1425,33460,8,8,70,25379.975723,199016128302wd,,0,1062919900214009
,,199016128302wd,11291199002079228,0,1,1,,2,1,9,9,Y,12,20,,3,1129119900207008,228,5,3,2,0,0,,,,6,12,12,6,1,1,1990,1129119900207,02,wd,,,1129119900207008,2,,,8,9,,Brevard,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1440,32901,8,8,73,25379.975723,199016128302wd,,0,1129119900207008
,,199016128302wd,11291199002129137,0,1,1,,2,1,9,95,Y,4,4,,3,1129119900212004,137,1,3,3,0,0,,,,6,12,12,6,1,1,1990,1129119900212,02,wd,,,1129119900212004,2,0,6,8,1,,Orange,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1210,32817,8,8,36,48671.29673,199016128302wd,,0,1129119900212004
,SHEEPSHEAD,199016128302wd,1129019900215974,,1,1,,2,1,9,520,O,25,30,,6,1129019900215001,74,1,3,0,0,0,,,,5,12,51,6,1,1,1990,1129019900215,02,wd,,,1129019900215001,,,,8,1,,,08AUG91:08:36,1,8,1,,,,8835430301,0,1,88,8,1100,99998,8,8,80,35808.371425,199016128302wd,,0,1129019900215001
,SPANISH MACKEREL,199016128301we,112141990012886279,0,1,1,,2,1,86,86,Y,35,125,,5.5,1121419900128008,279,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1121419900128,01,we,,,1121419900128008,2,0,1,8,1,,MIAMI-DADE,08AUG91:08:36,1,8,1,,,,8850030502,0,1,88,8,1425,33180,8,,64,21905.350766,199016128301we,,0,1121419900128008
,,199016128302wd,10629199002149985,,1,1,,2,1,99,99,Y,1,3,,3,1062919900214011,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214011,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1455,33461,8,8,64,25379.975723,199016128302wd,,0,1062919900214011
BLUEFISH,CREVALLE JACK,199016128302wd,10629199002079918,0,1,1,,2,1,99,125,O,7,7,,3,1062919900207013,18,5,3,1,0,0,,,,,12,26,6,1,1,1990,1062919900207,02,wd,,,1062919900207013,2,,,8,1,,,08AUG91:08:36,1,8,1,,,,8835280303,8835250101,1,88,8,1520,48042,8,8,40,18672.516627,199016128302wd,,0,1062919900207013
,,199016128302wd,106291990021699237,,1,1,,2,1,99,3,O,0,0,,5,1062919900216013,237,2,3,0,0,0,,,,5,12,42,6,1,1,1990,1062919900216,02,wd,,,1062919900216013,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1530,15228,8,8,56,18672.516627,199016128302wd,,0,1062919900216013
,,199016128302wd,106291990021585333,0,1,1,,2,1,85,85,Y,24,24,,3,1062919900215007,333,5,3,1,0,0,,,,6,12,12,6,1,1,1990,1062919900215,02,wd,,,1062919900215007,2,0,1,8,1,,Martin,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1320,34994,8,8,62,25379.975723,199016128302wd,,0,1062919900215007
,,199016128302wd,11291199002079228,0,1,1,,2,1,9,21,O,16,30,,7,1129119900207007,228,5,3,3,0,0,,,,5,12,36,6,1,1,1990,1129119900207,02,wd,,,1129119900207007,2,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1435,12037,8,8,65,18672.516627,199016128302wd,,0,1129119900207007
,FLORIDA POMPANO,199016128302wd,10629199002289985,,1,1,,2,1,99,99,Y,2,12,,2,1062919900228009,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900228,02,wd,,,1062919900228009,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835280901,0,1,88,8,1255,33401,8,8,70,25379.975723,199016128302wd,,0,1062919900228009
SOUTHERN KINGFISH,FLORIDA POMPANO,199016128302we,11291199002179228,0,1,1,,1,1,9,9,Y,60,100,,1,1129119900217013,228,5,3,2,3,0,,,,6,12,12,6,1,1,1990,1129119900217,02,we,,,1129119900217013,2,1,0,8,1,,Brevard,08AUG91:08:36,1,1,1,,,,8835280901,8835440601,1,88,8,1630,32951,8,8,32,21905.350766,199016128302we,,0,1129119900217013
,SOUTHERN KINGFISH,199016128302we,11291199002179228,,1,1,,2,1,9,998,O,9,18,,3,1129119900217006,228,5,3,0,0,0,,,,,12,99,6,1,1,1990,1129119900217,02,we,,,1129119900217006,,,,8,1,,,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1330,99997,8,8,62,16116.170908,199016128302we,,0,1129119900217006
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,4,20,,4,1054219900204013,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204013,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1615,32233,8,8,52,21905.350766,199016128302we,,0,1054219900204013
,SHEEPSHEAD,199016128302wd,10629199002289985,,1,1,,2,1,99,99,Y,12,75,,4,1062919900228015,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900228,02,wd,,,1062919900228015,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835430301,0,1,88,8,1505,33463,8,8,48,25379.975723,199016128302wd,,0,1062919900228015
,SOUTHERN KINGFISH,199016128302wd,11291199002129137,0,1,1,,2,1,9,9,Y,60,250,,5,1129119900212006,137,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1129119900212,02,wd,,,1129119900212006,2,0,2,8,1,,Brevard,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1430,32952,8,8,69,48671.29673,199016128302wd,,0,1129119900212006
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,2,2,,3,1054219900218004,209,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218004,2,0,1,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1520,32086,8,8,46,42007.992392,199016128302we,,0,1054219900218004
,,199016128302wd,10629199002149985,,1,1,,2,1,99,25,O,2,2,,2,1062919900214008,85,1,3,0,0,0,,,,4,12,25,6,1,1,1990,1062919900214,02,wd,,,1062919900214008,,,,8,1,,Suffolk,21AUG91:15:40,1,8,1,,,,0,0,1,88,8,1405,01906,8,8,73,18672.516627,199016128302wd,,0,1062919900214008
COMMON SNOOK,GREAT BARRACUDA,199016128302we,106291990022499237,,1,1,,2,1,99,99,Y,50,300,,3,1062919900224017,237,2,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224017,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8837010104,8835010105,1,88,8,1545,33425,8,8,34,21905.350766,199016128302we,,0,1062919900224017
,BLUEFISH,199016128302wd,11291199002129137,0,1,1,,2,1,9,95,Y,1,50,,3.5,1129119900212007,137,1,3,2,0,0,,,,6,12,12,6,1,1,1990,1129119900212,02,wd,,,1129119900212007,2,0,2,8,1,,Orange,08AUG91:08:36,1,8,1,,,,8835250101,0,1,88,8,1445,32712,8,8,52,48671.29673,199016128302wd,,0,1129119900212007
,FLORIDA POMPANO,199016128302wd,11291199002079228,0,1,1,,1,1,9,35,O,20,120,,5,1129119900207004,228,5,3,0,8,0,,,,,12,39,6,1,1,1990,1129119900207,02,wd,,,1129119900207004,2,2,0,8,1,,,08AUG91:08:36,1,1,1,,,,8835280901,0,1,88,8,1145,44025,8,8,66,18672.516627,199016128302wd,,0,1129119900207004
,,199016128302we,10629199002249985,,1,1,,2,1,99,99,Y,2,2,,2,1062919900224011,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224011,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1305,33460,8,8,25,21905.350766,199016128302we,,0,1062919900224011
,,199016128302wd,1129119900226127199,,1,1,,2,1,127,31,O,4,4,,4,1129119900226008,199,5,3,0,0,0,,,,,12,17,6,1,1,1990,1129119900226,02,wd,,,1129119900226008,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1640,60415,8,8,65,35808.371425,199016128302wd,,0,1129119900226008
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,5,250,,2.5,1054219900218012,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218012,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1720,32086,8,8,98,42007.992392,199016128302we,,0,1054219900218012
,,199016128302we,10542199002043143,,1,1,,2,1,31,1,O,6,6,,3,1054219900204002,43,1,3,0,0,0,,,,6,12,37,6,1,1,1990,1054219900204,02,we,,,1054219900204002,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1335,99998,8,8,70,16116.170908,199016128302we,,0,1054219900204002
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,0,2,,2,1054219900204014,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204014,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1625,32233,8,8,58,21905.350766,199016128302we,,0,1054219900204014
,,199016128302wd,10629199002289985,,1,1,,2,1,99,99,Y,0,0,,2,1062919900228012,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900228,02,wd,,,1062919900228012,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1410,33467,8,8,47,25379.975723,199016128302wd,,0,1062919900228012
,,199016128302we,106291990022499237,,1,1,,2,1,99,99,Y,20,100,,4,1062919900224019,237,2,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224019,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1615,33446,8,8,11,21905.350766,199016128302we,,0,1062919900224019
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,2,40,,1.5,1054219900204003,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204003,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1415,32223,8,8,39,21905.350766,199016128302we,,0,1054219900204003
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,0,1,1,,2,1,109,109,Y,30,200,,2.5,1054219900218010,209,1,3,1,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218010,2,,,8,9,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1650,32084,8,8,39,42007.992392,199016128302we,,0,1054219900218010
,,199016128302we,10629199002249985,,1,1,,2,1,99,99,Y,18,160,,5,1062919900224008,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224008,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1200,33405,8,8,41,21905.350766,199016128302we,,0,1062919900224008
,SOUTHERN KINGFISH,199016128302we,1054219900218109209,,1,1,,2,1,109,109,Y,2,2,,3,1054219900218005,209,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900218,02,we,,,1054219900218005,,,,8,1,,St. Johns,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1530,32086,8,8,9,42007.992392,199016128302we,,0,1054219900218005
,SPANISH MACKEREL,199016128302we,112141990020486296,0,1,1,,1,1,86,31,O,30,305,,5,1121419900204004,296,1,3,0,2,0,,,,,12,17,6,1,1,1990,1121419900204,02,we,,,1121419900204004,2,2,0,8,1,,,08AUG91:08:36,1,1,1,,,,8850030502,0,1,88,8,1405,60608,8,8,77,30906.055426,199016128302we,,0,1121419900204004
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,1,1,,2.5,1054219900204017,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204017,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1645,32223,8,8,8,21905.350766,199016128302we,,0,1054219900204017
,GREAT BARRACUDA,199016128302we,10629199002249985,,1,1,,2,1,99,99,Y,4,24,,3,1062919900224002,85,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1062919900224,02,we,,,1062919900224002,,,,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8837010104,0,1,88,8,1020,33461,8,8,63,21905.350766,199016128302we,,0,1062919900224002
,,199016128302we,10542199002043143,,1,1,,2,1,31,1,O,6,6,,3,1054219900204001,43,1,3,0,0,0,,,,6,12,37,6,1,1,1990,1054219900204,02,we,,,1054219900204001,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1330,99998,8,8,67,16116.170908,199016128302we,,0,1054219900204001
,,199016128302wd,10629199002079918,0,1,1,,2,1,99,133,O,0,1,,3,1062919900207012,18,1,3,2,0,0,,,,,12,55,6,1,1,1990,1062919900207,02,wd,,,1062919900207012,2,0,2,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1450,53151,8,8,61,18672.516627,199016128302wd,,0,1062919900207012
,,199016128302we,10542199002043143,,1,1,,2,1,31,31,Y,4,4,,3,1054219900204006,43,1,3,0,0,0,,,,6,12,12,6,1,1,1990,1054219900204,02,we,,,1054219900204006,,,,8,1,,Duval,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1450,32233,8,8,98,21905.350766,199016128302we,,0,1054219900204006
,,199016128302we,1054219900218109209,,1,1,,2,1,109,163,O,0,0,,2.5,1054219900218020,209,1,3,0,0,0,,,,,12,26,6,1,1,1990,1054219900218,02,we,,,1054219900218020,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1835,48146,8,8,98,30906.055426,199016128302we,,0,1054219900218020
,,199016128302wd,11291199002079228,2,1,1,,3,0,9,97,Y,8,50,,6,1129119900207010,228,5,3,0,0,1,,,,6,12,12,6,1,1,1990,1129119900207,02,wd,,,1129119900207009,,,,8,1,,Osceola,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1500,34746,8,8,80,25379.975723,199016128302wd,,0,1129119900207009
,,199016128302we,11291199002179228,1,1,1,,1,1,9,117,O,60,100,,2,1129119900217016,228,5,3,0,1,0,,,,5,12,36,6,1,1,1990,1129119900217,02,we,,,1129119900217016,2,1,0,8,1,,,08AUG91:08:36,1,1,1,,,,0,0,1,88,8,1700,12836,8,8,64,16116.170908,199016128302we,,0,1129119900217016
,SHEEPSHEAD,199016128302wd,10629199002149985,0,1,1,,1,1,99,99,Y,24,165,,4,1062919900214020,85,1,3,0,2,0,,,,6,12,12,6,1,1,1990,1062919900214,02,wd,,,1062919900214020,2,2,0,8,1,,Palm Beach,08AUG91:08:36,1,1,1,,,,8835430301,0,1,88,8,1640,33480,8,8,39,25379.975723,199016128302wd,,0,1062919900214020
,,199016128302wd,10629199002289985,,1,1,,2,1,99,125,O,2,2,,3,1062919900228018,85,1,3,0,0,0,,,,5,12,42,6,1,1,1990,1062919900228,02,wd,,,1062919900228018,,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1550,15330,8,8,56,18672.516627,199016128302wd,,0,1062919900228018
,BLUEFISH,199016128302wd,106291990021585333,0,1,1,,2,1,85,85,Y,24,24,,3,1062919900215008,333,5,3,1,0,0,,,,6,12,12,6,1,1,1990,1062919900215,02,wd,,,1062919900215008,2,0,1,8,1,,Martin,08AUG91:08:36,1,8,1,,,,8835250101,0,1,88,8,1335,34994,8,8,55,25379.975723,199016128302wd,,0,1062919900215008
,,199016128302we,10629199002249985,,1,1,,2,1,99,13,O,0,0,,2,1062919900224006,85,1,3,0,0,0,,,,5,12,34,6,1,1,1990,1062919900224,02,we,,,1062919900224006,,,,8,1,,Essex,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1125,07021,8,8,62,16116.170908,199016128302we,,0,1062919900224006
,BLUEFISH,199016128302wd,10629199002149985,,1,1,,2,1,99,17,O,1,6,,3,1062919900214016,85,1,3,0,0,0,,,,4,12,25,6,1,1,1990,1062919900214,02,wd,,,1062919900214016,,,,8,1,,Middlesex,21AUG91:15:40,1,8,1,,,,8835250101,0,1,88,8,1555,01720,8,8,77,18672.516627,199016128302wd,,0,1062919900214016
,SOUTHERN KINGFISH,199016128302wd,11291199002079228,0,1,1,,2,1,9,71,O,12,21,,6.5,1129119900207005,228,5,3,2,0,0,,,,5,12,42,6,1,1,1990,1129119900207,02,wd,,,1129119900207005,2,0,3,8,1,,,08AUG91:08:36,1,8,1,,,,8835440601,0,1,88,8,1345,99998,8,8,82,18672.516627,199016128302wd,,0,1129119900207005
,,199016128302we,10542199002043143,,1,1,,2,1,31,85,O,0,0,,1.5,1054219900204004,43,1,3,0,0,0,,,,5,12,51,6,1,1,1990,1054219900204,02,we,,,1054219900204004,,,,8,1,,Hanover,21AUG91:15:40,1,8,1,,,,0,0,1,88,8,1420,23228,8,8,56,16116.170908,199016128302we,,0,1054219900204004
,,199016128302we,11291199002179228,,1,1,,2,1,9,9,Y,0,2,,4.5,1129119900217009,228,5,3,0,0,0,,,,6,12,12,6,1,1,1990,1129119900217,02,we,,,1129119900217009,,,,8,1,,Brevard,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1450,32955,8,8,60,21905.350766,199016128302we,,0,1129119900217009
,,199016128302we,11291199002179228,1,1,1,,1,1,9,9,Y,5,15,,4.5,1129119900217008,228,5,3,0,3,0,,,,6,12,12,6,1,1,1990,1129119900217,02,we,,,1129119900217008,2,1,0,8,1,,Brevard,08AUG91:08:36,1,1,1,,,,0,0,1,88,8,1440,32955,8,8,61,21905.350766,199016128302we,,0,1129119900217008
,,199016128302wd,1129119900226127199,0,1,1,,3,0,127,135,O,18,18,,3.5,1129119900226005,199,5,3,1,0,1,,,,,12,39,6,1,1,1990,1129119900226,02,wd,,,1129119900226004,2,,,8,1,,,08AUG91:08:36,1,8,1,,,,0,0,1,88,8,1615,45311,8,8,62,35808.371425,199016128302wd,,0,1129119900226004
,SHEEPSHEAD,199016128302wd,106291990021699237,0,1,1,,2,1,99,99,Y,24,160,,2,1062919900216014,237,2,3,1,0,0,,,,6,12,12,6,1,1,1990,1062919900216,02,wd,,,1062919900216014,2,0,5,8,1,,Palm Beach,08AUG91:08:36,1,8,1,,,,8835430301,0,1,88,8,1545,33417,8,8,44,25379.975723,199016128302wd,,0,1062919900216014
